社会热点,topic,gdp,view point,finance news,global times,trump,news,financial planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真实案件,anneliese michel,true story,ufo,paranormal,reasoning,story telling,suspense,fbi,the black dahlia,criminal minds,detective conan,urban legend,cia,mystery,nsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奇闻怪事,guishu,unsolved mysteries,anneliese michel,unexplained,paranormal,supernatural,ufo,story telling,reasoning,suspense,mystery,detective conan,city legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正能量,motivational video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人物,yitiao,yitiaotv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社会实验,asia society china,social experiment,street interviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时评,topic,view point,finance news,global times,investigate,trump,apple news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交通事故,car accident,traffic accident,car crash,safe drving cars,road rage,truck,driving fails 2020,car fail,traffic crash;,car fails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灾害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短片,vedio,short movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
剪辑片段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预告片,movie trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幕后花絮,audition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影评,movie review,chinese movie,wasabidrama,china movie,chinamovie,chinese film,romance movie,chinesemovie,chinafilm,2019 movies,movie,chinesefilm,china film,chinese romance movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影视解说,chinese movie,movie review,wasabidrama,china movie,chinamovie,chinese film,chinesemovie,movie,chinese action movie,2019 movies,chinafilm,romance movie,chinesefilm,criminal minds,action movie,china film,free movies,mini film,chinese romance movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影视混剪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影视资讯,chinese movie,movie review,china movie,chinamovie,chinese film,youtube movie,youtube movie free,chinesemovie,romance movie,chinesefilm,chinafilm,chinese action movie,movie,2019 movies,youtube movies,chinese movies,china film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大陆电视剧,ashes of love,kiss scene,mr honesty,dance of the phoenix,eighth route army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大陆电影,chinese movie,china movie,chinamovie,chinesemovie,chinese film,chinesefilm,chinafilm,china film,chinese action movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美剧,a song of ice and fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
科幻片,justice league,ironman,starwar,iron man,captain america,avengers,hellboy (fictional character),avengers endgame,black widow,batman,thor,thanos,endgame,infinity war,spider man,hellboy,the avengers,the batman,darkphenix,captain marvel,hulk,x-men,far from home,tony stark,oliver queen,black panther,iron man 2 (film),emergency awesome,slade wilson,spider-man,jeangrey,a song of ice and fire,superman,,,,,,,,,,,,,,,,,,,,,,,,,,,
武侠剧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偶像剧,ashes of love,cdrama,mr honesty,dilireba,wang yibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内地综艺,rap competition show,rapstar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港台综艺,talk show,entertainment shows,variety show,entertainment program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩国综艺,inkigayo,케이팝,걸그룹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本综艺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欧美综艺,simon cowell,agt,"""americas got talent""",howie mandel,terry crews,xfactor,"""americas got talent 2020""",got talent global,"""americas got talent best""",x factor 2019,x-factor,x factor uk 2019,idol singers,x factor uk,american idol,the x factor,got talent (tv program),real like you,worst auditions,unwritten rule,funniest auditions,x factor final,x factor the band final,x factor the band,heidi klum,agt best auditions,"""britains got talent""",idols auditions,best magic,amazing auditions,x factor,bgt,agt 2020,nicole scherzinger,idols global,best auditions,how to dribble,auditions judges season 15,magicians got talent,"""britains got talent 2020""",,,,,,,,,,,,,,,,,,,,
真人秀,the rap of china,chinese dj remix 2019,wang yibo,cai xukun,the voice of china,yangchaoyue,tfboys,yamy,angelababy,chuang2020,wang yi bo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脱口秀,talk show,talkshow,trevor noah talk show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杂技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魔术,매직,마법,マジック,poker,magician,magicrevelation,マジシャン,magic tricks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
相声,guodegang,xiangsheng,yuqian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小品,comedian,chinese comedy,chinese comedian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广播,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内地娱乐,jinxing‘stalk,kris wu,snh48,the rap of china,tfboys,chuang2020,wang yibo,nene,angelababy,yibo,song qian,rocket girls 101,yangchaoyue,jackson wang,idolproducer,unine,xiaozhan,produce camp2020,g.e.m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港台娱乐,g.e.m.,kris wu,a-lin,jay chou,jjlin,hebe,chou,jay,jaychou,alin,snh48,dd52,s.h.e,jolin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东南亚娱乐,lisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩国娱乐,dahyun,tzuyu,jeongyeon,chaeyoung,쯔위,mina,sana,twice tzuyu,izone,produce48,jyp,トゥワイス,itzy,twice,커버댄스,yes i am tzuyu,mnet,chou tzuyu,j-hope,nct,inkigayo,iz*one,chaeyeong,twice mina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本娱乐,ななみん,まいやん,ななせまる,いくちゃん,あしゅ,まなったん,のぎおび,さゆにゃん,hkt48,nogizaka,さゆりん,zambi,オードリー,さゆりんご,keyakizaka46,みなみん,あしゅりん,どいやさん,かずみん,まっちゅん,ske48,nmb48,hkt,ドレミソラシド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欧美娱乐,et online,etonline,entertainment tonight,et tonight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
选秀,nene,r1se,chuang2020,curleygao,rocket girls 101,liuxiening,zhaoyue,snh48,luhan,오선의,chenzhuoxuan,rocket girls,xuan yi,nine percent,unine,produce 101 china,ztao,yamy,produce camp,super novae games,produce camp2020,chuang eng,joyce chu,ninepercent,zhangyifan,wangyijn,yangchaoyue,lu han,เนเน่,sunnee,produce 101,producecamp2020,mao bu yi,zhang yifan,streetdanceofchina,dance of the phoenix,nex7,idol producer,liu xiening,produce camp2019,song qian,chen zhuoxuan,,,,,,,,,,,,,,,,,,
红毯,grammy red carpet,grammys red carpet,2020 grammys,62nd grammys,grammy,grammys,grammy awards,victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娱乐产业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
网络红人,cover girl,viner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搞笑日常,howfun,our tv,dd.w,hxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
街访,street interviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鬼畜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
段子,stand up comedy,standupcomedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搞笑短片,tgop,comedian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恶搞,pranks,funny pranks,best pranks,prank video,how to prank,prank wars,school pranks,diy pranks,humor video,laugh,joke,dashen,funny prank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国漫,wuxiaworld,wu dong qian kun,wuxia,martial world,a will eternal,desolate era,one punch man,chinese animation,one punch-man,gon the stone age boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日漫,asmv,luffy,one piece,ドッカンバトル,dragonball,ayaki rui,onepiece まとめ,kumasan,acg,detective conan,ルフィ,dragonballlegends,カイドウ,xenos,dbz,amv,dragon ball,ssj,dragon ball super,ギャルゲー,broly,animeunity,kamado tanjirou,ワンピース ネタバレ,naruto,dblegends,sakura school simulator,dokkanbattle,ssgss,カカロット,ビッグマム,bleach brave souls,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美漫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番剧,カナヲ,はしびらいのすけ,しのぶ,こちょうしのぶ,tanjirou,zenitsu,demon slayer,inosuke,きめつのやいば,とみおかぎゆう,demonslayer,かまどたんじろう,kimetsu no yaiba,tanjiro,きめつ,ayaki rui,kamado nezuko,ネタばれ,kimetsu,onepiece まとめ,onepiece,kamado tanjirou,kimetsunoyaiba,anime herbalegg,shinobu,やまちゃん,アクノロギア,giyuu,もしアニ,demon,ルフィ,mitsuri,asmv,,,,,,,,,,,,,,,,,,,,,,,,,,,
动漫教学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosplay,coser,cosplay,cos,cosplay 2020,cosplay music video,cosplayer,댄스 커버,miraculous ladybug cosplay,anime cosplay,アイデンティティⅤ,critical role cosplay,disney cosplay,marvel cosplay,cosplay dance,my hero academia cosplay,ab project,lolita,cosplay makeup,cosplay queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMR,mukbang asmr,asmr mukbang,asmr no talking,asmr 먹방,먹방 asmr,eating sound,eating sounds,sas-asmr,asmr eating,asmr food,asmr ice cream,jane asmr,korean asmr,ice cream asmr,asmr chinese,eating asmr,asmr eating sounds,asmr jelly,asmr sleep,asmrextreme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMD,mikumikudance,ｍｍｄ,ＭＭＤ,mmdドラマ,mmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q版,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉服,hanfu,china ancient clothing,chinese makeup,chinese beauty,traditional chinese makeup,chinese make-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛丽塔,lolita fashion,lolita,lolitafashion,anime cosplay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK制服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女仆装,cosplay 2020,cos,anime cosplay,lolita fashion,lolita,lolitafashion,cosplay queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宅舞,cosplay dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手办,gundam,ガンプラ,plastic models,hottoys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娃娃bjd,doll,bjd,s.h.figuarts,disney princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动漫解说,kumasan,asmv,lex,best anime,anime herbalegg,lexburner,acg,one punch man,one punch-man,ayaki rui,dokkanbattle,xenos,overlord,mad.amv,luffy,animeunity,motion comic,dblegends,one-punch man: road to hero,ワンピース ネタバレ,dragonballlegends,dokkan battle,ワンピースネタバレ,one-punch man,mel blanc,amv,ashhh,todaymanhua,onepiece まとめ,battle through the heavens,ワールドミッション,カカロット,nuclear fusion gon,bleach brave souls,ssj,slamdunk,,,,,,,,,,,,,,,,,,,,,,,,
特摄,ultraman orb dark,ultraman,ultraman blu,ultraman rosso,ultraman z,kamenrider,kamen rider,ウルトラマンタロウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
声优,すとぷり,じゅねラジ,フリートーク,ヒプノシスマイク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虚拟主播,vsinger,vtuber,virtualyoutuber,mmd,luo tianyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洛天依,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搞笑动画,robocar poli chinese,funny animation,enjoyable cartoon,super jojo mandarin,masha and the bear china,sausage party,comedy cartoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游戏集锦,pubg mobile,pubg pc,peace elite,pubg mobile gameplay,game for peace,pubgm,pubg mobile chicken king,jedi survival,pubg funny moments,pubglite,game secrets,pubgmobile,pubg mobile india,pubg mobile s13,pubg best player,pubg,pubg video,pubg mobile live,pubg mobile conqueror,panda pubg mobile,pubg mobile season 11,pubg in real life,pubg game,pubg wtf,mobile legends,pubg funny moment,pubg mobile montage,pubg mobile funny moments,pubg highlights,battlegrounds,winner winner chicken dinner,5v5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游戏实况,pubgm,pubg funny moments,pubg mobile,pubgmobile,pubg mobile gameplay,pubglite,pubg mobile s13,pubg pc,peace elite,pubg wtf,game for peace,gaming talk shows,mini world,pubg mobile india,mini word,game play,mobile legends,pubg funny moment,jedi survival,pubg in real life,pubg,indie game,mobile game,pc gamer,gaming,zombiemode,pubg mobile montage,pc game,panda pubg mobile,game secrets,pubg mobile live,pubg mobile season 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游戏资讯,gaming,pubgm,online game,game play,leagueoflegends,esports,faker,pc game,skt,indie game,singleplayer,pcs,video games,battlefield1,moba,pubg mobile,mobile legends,video game (industry),open world (video game genre),mobile game,nintendo switch games,lck,fpx,pubg mobile india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游戏解说,kpl,rongyao,wangzhe,honorofkings,arena of valor,honor of kings,moba,mlbb,leagueoflegends,pubglite,nightblue3,pubg mobile gameplay,pubg funny moments,glory,mobile legends,nb3,pubg pc,chichi,faker,lpl006,lms,lplspring,s10,penta kill,qghappy,uzi,rng,lpl,awm,pubgmobile,lcs,09dota,meta,kings,,,,,,,,,,,,,,,,,,,,,,,,,,
主机游戏,mini world,indie game,mini word,2b2t,minecraft,pubg funny moments,minecraft tis,hypixel,battlefield5,rats mod,miniworldmuyu,codm,joy joy gang,super mario,gtav,minecraft parody,phantomxjack,minecraft mod,starbound (video game),meta,mc tis,gta,glowstick entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手游,pubg mobile gameplay,pubg mobile,pubg funny moments,pubgmobile,kpl,pubg mobile s13,pubglite,pubgm,peace elite,mobile legends,pubg mobile india,kingofglory,pubg mobile live,game for peace,pubg best player,pubg video,pubg game,pubg mobile season 11,pubg mobile chicken king,aov,mobile legends new hero,pubg wtf,arena of valor,honorofkings,pubg mobile montage,game secrets,penta storm,china pubg mobile,pubg mobile lite,pubg funny moment,mobile phone,rongyao,zombiemode,lobo,pubg mobile best player,,,,,,,,,,,,,,,,,,,,,,,,,
桌游,ptcg,shadowverse,boardgame,coc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电竞,lms,lck,lpl,faker,skt,uzi,lcs,rng,fpx,theshy,adc,doinb,karsa,leagueoflegends,lec,edg,dopa,skt t1 faker,kpl,kingofglory,rookie,doublelife,league_of_legends,jkl,league of legends,godjj,lpl2019,s10,lol,mid,zed,stanley,nightblue3,tft,ahq,pcs,09dota,lgd,aov,toyz,s7lol,riot,gcs,riven,kkoma,,,,,,,,,,,,,,,
卡牌游戏,tft,hearthstone,teamfight tactics,ptcg,lms,skt,teamfighttactics,hearthstone battlegrounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游戏点评,gamker,gaming talk shows,game play,game review,ps4share,scum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国风,guzheng,hanfu,chinese zither,chinese classical dance,guqin,traditional chinese dance,snowrabbit,guzheng music,gu zheng,gufeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
街舞,cover dance,dancecover,댄스 커버,커버댄스,댄스,choreo,coverdance,케이팝,dance cover,kpop dance,dance cover kpop,kpop in public challenge,kpopinpublic,mnet,kpop dance cover,케이팝댄스,블랙핑크,댄스커버,kpopdance,morethanyouth,urban dance,커버댄스팀,produce48,izone,kpopcover,kpop cover dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广场舞,square dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古典舞,chinese classical dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民族舞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现代舞,urban dance,choreography,원밀리언,mina myoung choreography,mina choreography,명미나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芭蕾舞,ballet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爵士舞,dancecover,댄스 커버,jazz,1million,jazz funk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉丁舞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鬼步舞,ghost step dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手势舞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV,pop music,china music,taiwan music,the voice,lyrics,cover songs,chinese pop,the voice of china,official mv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OST,동궁 ost,piano music,pipa,sheet music,violincover,light music,musica oriental,piano cover,guqin,cello,guzheng,play piano,synthesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
翻唱,old chinese song,oldies chinese songs,1990s chinese pop songs,hokkien song oldies,taiwanese classic songs,taiwanese oldies songs,cantonese song,hokkien songs,i love taiwan music,taiwanese songs,cantopop,taiwanese song,taiwanese old songs,chinese old songs,taiwanese songs hokkien,chord,the voice of china,pop music,hokkien songs oldies,chinese classic song,taiwan music,piano music,cover songs,vocal coach,violinmusic,new music,chinese songs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
演唱会LIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原创音乐,c-pop,pop music,cantonese song,new music,tanya chua,official video,kkbox,jolin tsai,a cappella,original music,chinese pop,cpop,choir,electronic music,jay chou,sony bmg music entertainment,a-lin,alin,acapella,taiwan music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古典,musica tradicional china,música instrumental,musica oriental,guqin,música guzheng,chinese zither,traditional chinese music,música de flauta,guzheng music,guzheng,chinese music,música tradicional,gu zheng,zithe,música tradicional china,hermosa música instrumental,música guqin,pipa,instrumental music,zither,hermosa música de flauta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民乐,música china,hermosa musica china,musica tradicional china,chinese zither,música instrumental,musica oriental,guzheng,música guzheng,música relajante,gu zheng,guzheng music,traditional chinese music,zithe,música de flauta,pipa,erhu,zither,musical instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘻哈,the rap of china,rapper,kris wu,chinese rapper,chinese rap,vava,gosh,hiphop,hip-hop,rap songs,mc hotdog,jay park,hippop,buzzy,chinese hip hop,hip hop,hip,코레오,rap of china,rap,eminem,pgone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
摇滚,the big band,re-tros,linkin park,rock,slipknot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电音,remix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r&b,r&b,sam tsui mashup,rnb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古风音乐,guqin,chinese zither,guzheng,guzheng music,musica oriental,traditional chinese music,gu zheng,música guzheng,zithe,música de flauta,pipa,erhu,zither,erhu music,hermosa música instrumental,musical instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蹦迪DJ,chinese dj remix,chinese dj,dj china remix,dj soda 2019,chinese dj 2019,chinese dj 2020,chinese dj remix 2019,dj china,chinese dj remix 2020,china music dj club,dj king,king dj,manyao,dj2020,dj remix,chinese dj 2018,92cc dj,dj soda 2020,92cc,92ccdj,dj soda remix,chinese dj party,dj soda,chinesedj,remix,dj ye,92kk dj,dj k.n,dj2019,remixes,92cc mixtape,dj - lagu mandarin,chinese dj 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
音乐教学,vbs,vocal coach,how to sing,guitar lesson,how to sing better,pipa,guitar music,singing lessons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
热门音乐,kkbox 2020,kkbox,a-lin,pop 2020,top 100 - kkbox,jay chou,top chinese songs 2020,pop music,the voice of china,alin,jaychou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民谣,solo guitar,folk music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
